year,month,date,dead_people,injury_people,total_casualties,fatality_rate,accident_rate,fatalities_pct_change,injuries_pct_change,total_casualties_lag_1,accident_rate_lag_1,total_casualties_lag_2,accident_rate_lag_2,total_casualties_lag_3,accident_rate_lag_3,casualties_rolling_mean_3,fatalities_rolling_mean_3,accident_rate_rolling_mean_3
2021,1,2021-01-01,223,13403,13626,1.636577131953618,91.11334002006018,,,,,,,,,,,
2021,2,2021-02-01,222,13890,14112,1.5731292517006803,94.36308926780342,-0.4484304932735439,3.633514884727296,13626.0,91.11334002006018,,,,,,,
2021,3,2021-03-01,244,16340,16584,1.4712976362759285,110.8926780341023,9.90990990990992,17.638588912886966,14112.0,94.36308926780342,13626.0,91.11334002006018,,,14774.0,229.66666666666666,98.78970244065529
2021,4,2021-04-01,193,11654,11847,1.629104414619735,79.21765295887663,-20.90163934426229,-28.678090575275395,16584.0,110.8926780341023,14112.0,94.36308926780342,13626.0,91.11334002006018,14181.0,219.66666666666666,94.82447342026079
2021,5,2021-05-01,160,10557,10717,1.492955118036764,71.66165162153126,-17.098445595854926,-9.413077055088381,11847.0,79.21765295887663,16584.0,110.8926780341023,14112.0,94.36308926780342,13049.333333333334,199.0,87.25732753817006
2021,6,2021-06-01,177,11538,11715,1.5108834827144686,78.33500501504514,10.624999999999996,9.292412617220801,10717.0,71.66165162153126,11847.0,79.21765295887663,16584.0,110.8926780341023,11426.333333333334,176.66666666666666,76.40476986515101
2021,7,2021-07-01,122,9438,9560,1.2761506276150627,63.92510865931127,-31.07344632768362,-18.20072802912116,11715.0,78.33500501504514,10717.0,71.66165162153126,11847.0,79.21765295887663,10664.0,153.0,71.30725509862923
2021,8,2021-08-01,151,8782,8933,1.6903615806559948,59.73253092611167,23.77049180327868,-6.950625132443311,9560.0,63.92510865931127,11715.0,78.33500501504514,10717.0,71.66165162153126,10069.333333333334,150.0,67.33088153348936
2021,9,2021-09-01,165,9698,9863,1.672918990165264,65.95118689401538,9.27152317880795,10.430425871099969,8933.0,59.73253092611167,9560.0,63.92510865931127,11715.0,78.33500501504514,9452.0,146.0,63.20294215981278
2021,10,2021-10-01,191,11090,11281,1.6931123127382324,75.43296556335673,15.757575757575747,14.35347494328727,9863.0,65.95118689401538,8933.0,59.73253092611167,9560.0,63.92510865931127,10025.666666666666,169.0,67.03889446116126
2021,11,2021-11-01,214,13002,13216,1.6192493946731235,88.37178201270478,12.041884816753923,17.240757439134356,11281.0,75.43296556335673,9863.0,65.95118689401538,8933.0,59.73253092611167,11453.333333333334,190.0,76.58531149002563
2021,12,2021-12-01,270,15518,15788,1.7101596148973903,105.57004346372452,26.16822429906542,19.350869097061985,13216.0,88.37178201270478,11281.0,75.43296556335673,9863.0,65.95118689401538,13428.333333333334,225.0,89.791597013262
2022,1,2022-01-01,232,13540,13772,1.6845774034272436,92.08960213975259,-14.074074074074073,-12.746487949478025,15788.0,105.57004346372452,13216.0,88.37178201270478,11281.0,75.43296556335673,14258.666666666666,238.66666666666666,95.34380920539395
2022,2,2022-02-01,187,12255,12442,1.5029737984246905,83.19625543296556,-19.396551724137932,-9.490398818316104,13772.0,92.08960213975259,15788.0,105.57004346372452,13216.0,88.37178201270478,14000.666666666666,229.66666666666666,93.61863367881422
2022,3,2022-03-01,218,12762,12980,1.6795069337442219,86.79371447676363,16.577540106951872,4.137086903304765,12442.0,83.19625543296556,13772.0,92.08960213975259,15788.0,105.57004346372452,13064.666666666666,212.33333333333334,87.35985734982724
2022,4,2022-04-01,226,12318,12544,1.8016581632653061,83.8783015713808,3.669724770642202,-3.47907851433944,12980.0,86.79371447676363,12442.0,83.19625543296556,13772.0,92.08960213975259,12655.333333333334,210.33333333333334,84.62275716037
2022,5,2022-05-01,195,13770,13965,1.3963480128893664,93.38014042126379,-13.716814159292035,11.78762786166585,12544.0,83.8783015713808,12980.0,86.79371447676363,12442.0,83.19625543296556,13163.0,213.0,88.01738548980273
2022,6,2022-06-01,208,15539,15747,1.3208865180669334,105.29588766298896,6.666666666666665,12.84676833696441,13965.0,93.38014042126379,12544.0,83.8783015713808,12980.0,86.79371447676363,14085.333333333334,209.66666666666666,94.18477655187785
2022,7,2022-07-01,242,16176,16418,1.4739919600438542,109.78268137746574,16.346153846153854,4.099362893365077,15747.0,105.29588766298896,13965.0,93.38014042126379,12544.0,83.8783015713808,15376.666666666666,215.0,102.81956982057284
2022,8,2022-08-01,255,17280,17535,1.4542343883661248,117.25175526579739,5.371900826446274,6.824925816023741,16418.0,109.78268137746574,15747.0,105.29588766298896,13965.0,93.38014042126379,16566.666666666668,235.0,110.77677476875071
2022,9,2022-09-01,261,16906,17167,1.5203588279839226,114.79103978602474,2.35294117647058,-2.1643518518518534,17535.0,117.25175526579739,16418.0,109.78268137746574,15747.0,105.29588766298896,17040.0,252.66666666666666,113.94182547642929
2022,10,2022-10-01,242,17182,17424,1.3888888888888888,116.50952858575727,-7.279693486590033,1.6325564888205468,17167.0,114.79103978602474,17535.0,117.25175526579739,16418.0,109.78268137746574,17375.333333333332,252.66666666666666,116.18410787919312
2022,11,2022-11-01,271,17247,17518,1.5469802488868594,117.13808090939486,11.983471074380159,0.3783028751018547,17424.0,116.50952858575727,17167.0,114.79103978602474,17535.0,117.25175526579739,17369.666666666668,258.0,116.14621642705896
2022,12,2022-12-01,279,15023,15302,1.8232910730623448,102.32029421598128,2.9520295202952074,-12.894996231228617,17518.0,117.13808090939486,17424.0,116.50952858575727,17167.0,114.79103978602474,16748.0,264.0,111.98930123704447
2023,1,2023-01-01,254,14958,15212,1.6697344201945832,101.71848879973253,-8.960573476702505,-0.4326699061439121,15302.0,102.32029421598128,17518.0,117.13808090939486,17424.0,116.50952858575727,16010.666666666666,268.0,107.0589546417029
2023,2,2023-02-01,259,14723,14982,1.7287411560539316,100.18054162487462,1.9685039370078705,-1.571065650488035,15212.0,101.71848879973253,15302.0,102.32029421598128,17518.0,117.13808090939486,15165.333333333334,264.0,101.40644154686281
