year,province,month,age_group,dead_people,injury_people
2021,Kanchanaburi,November,36-60,1,193
2021,Kanchanaburi,November,60++,2,65
2021,Kanchanaburi,December,1-14,0,73
2021,Kanchanaburi,December,15-18,0,120
2021,Kanchanaburi,December,19-24,2,113
2021,Kanchanaburi,December,25-35,7,165
2021,Kanchanaburi,December,36-60,3,243
2021,Kanchanaburi,December,60++,4,77
2021,Chonburi,January,1-14,1,109
2021,Chonburi,January,15-18,1,175
2021,Chonburi,January,19-24,7,454
2021,Chonburi,January,25-35,7,738
2021,Chonburi,January,36-60,19,768
2021,Chonburi,January,60++,3,132
2021,Chonburi,February,1-14,4,133
2021,Chonburi,February,15-18,4,265
2021,Chonburi,February,19-24,2,543
2021,Chonburi,February,25-35,12,796
2021,Chonburi,February,36-60,21,820
2021,Chonburi,February,60++,5,164
2021,Chonburi,March,1-14,0,195
2021,Chonburi,March,15-18,3,276
2021,Chonburi,March,19-24,9,596
2021,Chonburi,March,25-35,15,852
2021,Chonburi,March,36-60,13,882
2021,Chonburi,March,60++,4,195
2021,Chonburi,April,1-14,0,109
2021,Chonburi,April,15-18,0,238
2021,Chonburi,April,19-24,4,465
2021,Chonburi,April,25-35,16,703
2021,Chonburi,April,36-60,14,698
2021,Chonburi,April,60++,2,101
2021,Chonburi,May,1-14,1,97
2021,Chonburi,May,15-18,2,157
2021,Chonburi,May,19-24,6,465
2021,Chonburi,May,25-35,7,642
2021,Chonburi,May,36-60,15,743
2021,Chonburi,May,60++,4,117
2021,Chonburi,June,1-14,0,117
2021,Chonburi,June,15-18,2,221
2021,Chonburi,June,19-24,1,444
2021,Chonburi,June,25-35,8,730
2021,Chonburi,June,36-60,15,771
2021,Chonburi,June,60++,2,130
2021,Chonburi,July,1-14,1,60
2021,Chonburi,July,15-18,1,126
2021,Chonburi,July,19-24,4,377
2021,Chonburi,July,25-35,7,604
2021,Chonburi,July,36-60,15,636
2021,Chonburi,July,60++,2,109
2021,Chonburi,August,1-14,0,45
2021,Chonburi,August,15-18,0,96
2021,Chonburi,August,19-24,3,290
2021,Chonburi,August,25-35,6,516
2021,Chonburi,August,36-60,13,527
2021,Chonburi,August,60++,5,86
2021,Chonburi,September,1-14,0,62
2021,Chonburi,September,15-18,2,175
2021,Chonburi,September,19-24,3,373
2021,Chonburi,September,25-35,15,626
2021,Chonburi,September,36-60,12,641
2021,Chonburi,September,60++,0,99
2021,Chonburi,October,1-14,0,92
2021,Chonburi,October,15-18,3,189
2021,Chonburi,October,19-24,4,467
2021,Chonburi,October,25-35,10,716
2021,Chonburi,October,36-60,17,707
2021,Chonburi,October,60++,0,132
2021,Chonburi,November,1-14,0,104
2021,Chonburi,November,15-18,1,215
2021,Chonburi,November,19-24,7,544
2021,Chonburi,November,25-35,14,791
2021,Chonburi,November,36-60,10,791
2021,Chonburi,November,60++,3,148
2021,Chonburi,December,1-14,2,135
2021,Chonburi,December,15-18,1,246
2021,Chonburi,December,19-24,13,704
2021,Chonburi,December,25-35,21,975
2021,Chonburi,December,36-60,18,855
2021,Chonburi,December,60++,8,140
2021,Nakhon-Ratchasima,January,1-14,0,239
2021,Nakhon-Ratchasima,January,15-18,3,357
2021,Nakhon-Ratchasima,January,19-24,8,433
2021,Nakhon-Ratchasima,January,25-35,7,519
2021,Nakhon-Ratchasima,January,36-60,21,872
2021,Nakhon-Ratchasima,January,60++,7,251
2021,Nakhon-Ratchasima,February,1-14,0,228
2021,Nakhon-Ratchasima,February,15-18,2,342
2021,Nakhon-Ratchasima,February,19-24,10,411
2021,Nakhon-Ratchasima,February,25-35,10,470
2021,Nakhon-Ratchasima,February,36-60,18,761
2021,Nakhon-Ratchasima,February,60++,8,255
2021,Nakhon-Ratchasima,March,1-14,0,255
2021,Nakhon-Ratchasima,March,15-18,1,421
2021,Nakhon-Ratchasima,March,19-24,4,488
2021,Nakhon-Ratchasima,March,25-35,9,536
2021,Nakhon-Ratchasima,March,36-60,14,896
2021,Nakhon-Ratchasima,March,60++,6,277
2021,Nakhon-Ratchasima,April,1-14,1,207
2021,Nakhon-Ratchasima,April,15-18,2,276
2021,Nakhon-Ratchasima,April,19-24,4,369
